RECRUITER_CODE,smiles_atom_index,smile_atom
L00057,18,O
L00057,19,O
L00057,20,Cl
L00057,21,N
L00057,22,C
L00057,23,C
L00057,24,C
L00057,25,C
L00057,26,C
L00057,27,C
L00057,28,C
L00057,29,F
L00057,30,F
L00057,31,C
L00057,32,O
L00058,0,C
L00058,1,C
L00058,2,N
L00058,3,C
L00058,4,C
L00058,5,C
L00058,6,C
L00058,7,C
L00058,8,C
L00058,9,N
L00058,10,N
L00058,11,C
L00058,12,C
L00058,13,C
L00058,14,C
L00058,15,O
L00058,16,O
L00058,17,C
L00058,18,C
L00058,19,C
L00058,20,C
L00058,21,C
L00058,22,C
L00058,23,C
L00058,24,N
L00058,25,C
L00058,26,C
L00058,27,C
L00058,28,O
L00058,29,C
L00058,30,C
L00058,31,C
L00058,32,C
L00058,33,C
L00058,34,C
L00058,35,C
L00059,0,C
L00059,1,N
L00059,2,C
L00059,3,C
L00059,4,C
L00059,5,N
L00059,6,N
L00059,7,C
L00059,8,N
L00059,9,C
L00059,10,C
L00059,11,C
L00059,12,C
L00059,13,C
L00059,14,C
L00059,15,C
L00059,16,O
L00059,17,P
L00059,18,O
L00059,19,O
L00059,20,O
L00059,21,P
L00059,22,O
L00059,23,O
L00059,24,O
L00059,25,P
L00059,26,O
L00059,27,O
L00059,28,O
L00059,29,O
L00059,30,N
L00060,0,C
L00060,1,N
L00060,2,C
L00060,3,C
L00060,4,C
L00060,5,N
L00060,6,N
L00060,7,C
L00060,8,N
L00060,9,C
L00060,10,C
L00060,11,C
L00060,12,C
L00060,13,C
L00060,14,C
L00060,15,O
L00060,16,C
L00060,17,O
L00060,18,P
L00060,19,O
L00060,20,O
L00060,21,O
L00060,22,P
L00060,23,O
L00060,24,O
L00060,25,O
L00060,26,P
L00060,27,O
L00060,28,O
L00060,29,O
L00060,30,N
L00061,0,C
L00061,1,N
L00061,2,C
L00061,3,C
L00061,4,C
L00061,5,C
L00061,6,C
L00061,7,C
L00061,8,N
L00061,9,N
L00061,10,C
L00061,11,C
L00061,12,C
L00061,13,O
L00061,14,O
L00061,15,C
L00061,16,C
L00061,17,C
L00061,18,C
L00061,19,C
L00061,20,C
L00061,21,C
L00061,22,N
L00061,23,C
L00061,24,S
L00061,25,O
L00061,26,O
L00061,27,C
L00061,28,C
L00061,29,C
L00061,30,C
L00061,31,C
L00061,32,C
L00061,33,Cl
L00062,0,C
L00062,1,C
L00062,2,C
L00062,3,C
L00062,4,O
L00062,5,O
L00062,6,C
L00062,7,C
L00062,8,C
L00062,9,C
L00062,10,N
L00062,11,C
L00062,12,C
L00062,13,C
L00062,14,C
L00062,15,C
L00062,16,O
L00062,17,C
L00062,18,C
L00062,19,O
L00062,20,O
L00062,21,C
L00062,22,C
L00062,23,C
L00062,24,C
L00062,25,C
L00062,26,C
L00062,27,Cl
L00062,28,C
L00062,29,C
L00062,30,C
L00062,31,C
L00062,32,C
L00062,33,C
L00062,34,Cl
L00063,0,C
L00063,1,C
L00063,2,C
L00063,3,C
L00063,4,C
L00063,5,O
L00063,6,N
L00063,7,C
L00063,8,C
L00063,9,C
L00063,10,C
L00063,11,C
L00063,12,O
L00063,13,C
L00063,14,C
L00063,15,C
L00063,16,O
L00063,17,O
L00063,18,C
L00063,19,C
L00063,20,C
L00063,21,C
L00063,22,C
L00063,23,C
L00063,24,Cl
L00063,25,C
L00063,26,C
L00063,27,C
L00063,28,C
L00063,29,C
L00063,30,C
L00063,31,Cl
L00064,0,C
L00064,1,C
L00064,2,C
L00064,3,C
L00064,4,O
L00064,5,N
L00064,6,C
L00064,7,C
L00064,8,C
L00064,9,C
L00064,10,C
L00064,11,O
L00064,12,C
L00064,13,C
L00064,14,O
L00064,15,O
L00064,16,C
L00064,17,C
L00064,18,C
L00064,19,C
L00064,20,C
L00064,21,C
L00064,22,Cl
L00064,23,C
L00064,24,C
L00064,25,C
L00064,26,C
L00064,27,C
L00064,28,C
L00064,29,Cl
L00065,0,C
L00065,1,C
L00065,2,C
L00065,3,C
L00065,4,C
L00065,5,C
L00065,6,C
L00065,7,C
L00065,8,N
L00065,9,C
L00065,10,C
L00065,11,N
L00065,12,C
L00065,13,O
L00065,14,C
L00065,15,C
