Ligase,Scaffold_ID,Recruiter_Count,Scaffold_SMILES,Murcko_SMILES,Scaffold_Class,Scaffold_Center_of_Mass_X,Scaffold_Center_of_Mass_Y,Scaffold_Center_of_Mass_Z,Ligase_Scaffold_Connectivity,Total_Recruiters,Recruiter_Density_Score,Shannon_Diversity_Index,Normalized_Diversity
KEAP1,KEAP1_SCAF_39,1,O=C(NCc1ccccc1)c1cccc2c1-c1ccccc1C2=O,O=C(NCc1ccccc1)c1cccc2c1-c1ccccc1C2=O,Polycyclic_Hetero,-8.266891444901166e-15,-6.695498856200944e-15,0.03498104931939879,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_4,1,O=C(CSc1ncc(S(=O)(=O)c2ccccc2)c(=O)[nH]1)Nc1ccccc1,O=C(CSc1ncc(S(=O)(=O)c2ccccc2)c(=O)[nH]1)Nc1ccccc1,Polycyclic_Hetero,-1.6040079317679643e-14,4.65236315081018e-15,-0.0606977952145146,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_40,2,c1ccc(-c2cccc(-n3cccn3)n2)cc1,c1ccc(-c2cccc(-n3cccn3)n2)cc1,Polycyclic_Hetero,1.9127556681399125e-14,0.14205663664456597,9.040387486233418e-15,1,87,0.022988505747126436,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_41,1,c1ccc(-c2cccc(-n3nccc3C3CC3)c2)cc1,c1ccc(-c2cccc(-n3nccc3C3CC3)c2)cc1,Polycyclic_Hetero,-7.24358844510991e-14,1.30759600678074e-15,0.18421354312015012,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_42,1,c1ccc(-c2cccc(-n3nccc3[C@@H]3C[C@H]3c3c[nH]nn3)c2)cc1,c1ccc(-c2cccc(-n3nccc3[C@@H]3C[C@H]3c3c[nH]nn3)c2)cc1,Polycyclic_Hetero,-1.3132352348423281e-14,-1.9899426022328997e-14,0.03685838240304152,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_43,1,O=C(c1cccc(-c2cccc(-n3nccc3C3CC3)c2)c1)N1CCCCC1,O=C(c1cccc(-c2cccc(-n3nccc3C3CC3)c2)c1)N1CCCCC1,Polycyclic_Hetero,-1.6522632318930915e-13,2.289992095321172e-14,0.11189142060951104,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_44,1,O=C(c1cccc(-c2cccc(-n3nccc3[C@@H]3C[C@H]3c3c[nH]nn3)c2)c1)N1CCCCC1,O=C(c1cccc(-c2cccc(-n3nccc3[C@@H]3C[C@H]3c3c[nH]nn3)c2)c1)N1CCCCC1,Polycyclic_Hetero,1.3239880002140003e-13,-1.2567724638756772e-13,-0.05939087982814056,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_45,1,O=C1OC[C@@H](NC(=O)[C@@H]2CCCN2)C(=O)NCC[S@@](=O)Cc2ccccc21,O=C1OC[C@@H](NC(=O)[C@@H]2CCCN2)C(=O)NCC[S@@](=O)Cc2ccccc21,Polycyclic_Hetero,6.954437026251981e-15,-1.4095391520640987e-14,0.16650001746276427,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_46,1,O=C1OC[C@@H](NC(=O)[C@@H]2CCCN2)C(=O)NCCSCc2c1cccc2-c1cccc2nonc12,O=C1OC[C@@H](NC(=O)[C@@H]2CCCN2)C(=O)NCCSCc2c1cccc2-c1cccc2nonc12,Polycyclic_Hetero,3.292181342355131e-14,-1.6275869541004794e-14,-0.01757640781288703,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_47,2,O=C1OC[C@@H](NC(=O)[C@@H]2CCCN2)C(=O)NCCSCc2c1cccc2-c1ccccc1,O=C1OC[C@@H](NC(=O)[C@@H]2CCCN2)C(=O)NCCSCc2c1cccc2-c1ccccc1,Polycyclic_Hetero,-2.4688349293359415e-15,-8.196833042825733e-15,-0.018868848872662655,1,87,0.022988505747126436,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_48,1,O=S1(=O)Oc2ccc3cc2C[N@]1Cc1cccc(c1)Cc1ccc2c(c1)nnn2CCOCCO3,O=S1(=O)Oc2ccc3cc2C[N@]1Cc1cccc(c1)Cc1ccc2c(c1)nnn2CCOCCO3,Polycyclic_Hetero,-9.270249351583654e-13,-3.0079291223508765e-12,-0.04802478379442499,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_49,3,O=C(Cc1ccc2c(c1)CCCC2)NCc1ccccc1,O=C(Cc1ccc2c(c1)CCCC2)NCc1ccccc1,Polycyclic_Hetero,2.023777970602428e-14,3.670080112832303e-14,0.03685838240303899,1,87,0.034482758620689655,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_5,5,O=S(=O)(Nc1ccc(NS(=O)(=O)c2ccccc2)c2ccccc12)c1ccccc1,O=S(=O)(Nc1ccc(NS(=O)(=O)c2ccccc2)c2ccccc12)c1ccccc1,Polycyclic_Hetero,1.522855915444173e-14,-0.07282417623588475,2.475334751987172e-14,1,87,0.05747126436781609,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_50,1,c1cncnc1,c1cncnc1,Monocyclic_Hetero,-4.218847493575595e-15,6.217248937900876e-16,2.529226827974185e-16,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_51,1,c1ccc(CNCc2ccccc2)cc1,c1ccc(CNCc2ccccc2)cc1,Bicyclic_Hetero,1.1191048088221578e-14,2.294460917558657e-16,-0.09047805479772307,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_52,1,[BH2-]1OC2OCC[C@H]2O1,[BH2-]1OC2OCC[C@H]2O1,Bicyclic_Hetero,4.250072516143177e-15,4.718447854656915e-16,-0.0784600561167666,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_53,1,O=c1c(-n2ccnn2)c[nH]n1-c1cc(N2CCOCC2)ncn1,O=c1c(-n2ccnn2)c[nH]n1-c1cc(N2CCOCC2)ncn1,Polycyclic_Hetero,4.200843876960052e-16,9.3618806400824e-16,-0.10227764659093978,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_54,1,O=C(COc1ccccc1)NC1CCCCC1,O=C(COc1ccccc1)NC1CCCCC1,Bicyclic_Hetero,5.242719838507684e-14,-4.675272514810382e-15,0.021858975622051816,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_55,1,O=C(NCCc1c[nH]cn1)C1CC=CC1,O=C(NCCc1c[nH]cn1)C1CC=CC1,Bicyclic_Hetero,-8.541315802782871e-15,1.4358884451818692e-15,-0.015115760994870771,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
KEAP1,KEAP1_SCAF_56,1,O=c1ccc2c([nH]1)CCC[C@H]2NCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,O=c1ccc2c([nH]1)CCC[C@H]2NCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,Polycyclic_Hetero,2.8794525063364554e-14,-6.030841121420604e-16,-0.01814445504239795,1,87,0.011494252873563218,3.832309551498157,0.9520434103481434
